Title,Company,High,Low,Price,Volume,Change,,% Change
APVO,Aptevo Therapeutics Inc,3.530,3.390,3.440,"6,754",-0.040,,1.15,
APWC,Asia Pacific Wire & Cable,2.550,2.550,2.550,185,0.095,,3.87,
AQB,Aquabounty Technologies Inc,3.100,3.010,3.010,"23,111",0.050,,1.69,
AQMS,Aqua Metals Inc,2.320,2.270,2.300,"35,563",0.000,,0.00,
AQXP,Aquinox Pharmaceutic,13.94,13.84,13.84,"3,434",-0.01,,0.07,
ARAY,Accuray Incorporated,4.850,4.750,4.770,"49,478",0.070,,1.49,
ARCB,Arcbest Corp,33.45,32.80,33.05,"21,964",-0.05,,0.15,
ARCC,Ares Capital Corp,16.03,15.94,15.95,"176,260",-0.05,,0.31,
ARCI,Applnc Rcycl Ct Amer,0.7800,0.7800,0.7800,431,0.0000,,0.00,
ARCT,Arcturus Therapeutics Ltd,5.240,5.240,5.240,200,0.060,,1.16,
ARCW,Arc Group Worldwide,2.100,1.950,2.050,"7,848",0.000,,0.00,
ARDM,Aradigm Corp,1.469,1.320,1.400,"77,802",0.130,,10.23,
ARDX,Ardelyx Inc,5.250,5.150,5.220,"33,766",0.120,,2.35,
AREX,Approach Res. Inc,2.630,2.500,2.620,"94,828",0.080,,3.15,
ARGS,Argos Therapeutics,0.7900,0.7500,0.7600,"19,142",-0.0200,,2.56,
ARGX,Argenx Se Ads,76.96,75.71,75.71,"7,812",-1.48,,1.92,
ARII,American Railcar Ind,37.16,36.47,37.14,"16,785",0.93,,2.57,
ARKR,Ark Restaurants Cp,24.88,24.88,24.88,332,-0.15,,0.60,
ARLP,Alliance Resource Pt,17.35,16.90,17.20,"38,841",0.30,,1.78,
ARLZ,Aralez Pharm Inc,1.450,1.410,1.430,"73,979",0.010,,0.70,
ARMO,Armo Biosciences Inc.,42.30,40.37,40.37,"3,557",-0.19,,0.47,
ARNA,Arena Pharmaceutical,37.37,36.25,36.37,"177,455",-0.89,,2.39,
AROW,Arrow Financial Corp,33.35,33.35,33.35,207,-0.70,,2.06,
ARQL,Arqule Inc,3.020,2.930,2.995,"905,259",0.055,,1.87,
ARRS,Arris Group Inc,27.21,26.75,27.00,"132,723",0.11,,0.41,
ARRY,Array Biopharma Inc,16.05,15.38,15.39,"920,006",-0.56,,3.51,
ARTNA,Artesian Res Cp A,36.23,36.23,36.23,357,0.14,,0.39,
ARTW,Art S Way MFG Co I,2.550,2.520,2.550,"1,400",0.050,,2.00,
ARTX,Arotech Corp,3.150,3.105,3.105,"16,072",-0.045,,1.43,
ARWR,Arrowhead Pharma,7.170,6.860,6.860,"162,608",-0.250,,3.52,
ASCMA,Ascent Capital Group,3.730,3.470,3.660,"6,024",0.080,,2.23,
ASET,Flexshares Real Assets Allocation Index,27.35,27.21,27.32,"3,900",0.02,,0.07,
ASFI,Asta Funding Inc,3.650,3.500,3.500,"8,956",-0.150,,4.11,
ASMB,Assembly Biosciences,47.95,45.63,46.45,"44,065",-1.11,,2.33,
ASML,Asml Hldg NY Reg,200.3,199.0,199.6,"289,231",1.3,,0.67,
ASNA,Ascena Retail Grp,2.300,2.190,2.260,"379,716",0.000,,0.00,
ASND,Ascendis Pharma Ads,60.88,58.02,60.70,"6,163",0.21,,0.35,
ASNS,Arsanis Inc,25.98,23.33,24.33,"3,053",-1.01,,3.99,
ASPS,Altisource Portfolio,27.56,26.38,26.48,"25,549",-1.24,,4.47,
ASPU,Aspen Group Inc,7.520,7.360,7.360,"2,863",0.060,,0.82,
ASRV,Ameriserv Financial,4.100,4.060,4.080,"3,602",-0.020,,0.49,
ASRVP,Ameriserv Fin Cap,27.40,27.00,27.00,"4,400",-0.06,,0.22,
ASTC,Astrotech Corp,2.540,2.430,2.500,"35,401",-0.070,,2.72,
ASTE,Astec Inds Inc,55.68,54.80,55.40,"5,767",0.58,,1.06,
ASUR,Asure Software,14.35,14.08,14.08,"6,356",-0.20,,1.40,
ASV,Asv Holdings Inc,7.250,7.250,7.250,600,0.000,,0.00,
ASYS,Amtech Systems Inc,7.850,7.600,7.600,"65,376",-0.230,,2.94,
ATAC,Atlantic Acquisition Corp,10.03,10.03,10.03,200,0.00,,0.00,
ATACR,Atlantic Acquisition Corp Right,0.6300,0.5700,0.6100,"162,500",0.0900,,17.31,
ATACU,Atlantic Acquisition Corp Unit,10.48,10.34,10.38,"21,400",-0.08,,0.76,
ATAI,Ata Inc ADR,5.260,5.260,5.260,320,0.010,,0.19,
